species,longitude,latitude
Alopias vulpinus,2.5101,41.535
Alopias vulpinus,-1.92076,50.60932
Alopias vulpinus,-3.40779,54.34667
Alopias vulpinus,-3.6162,54.5598
Alopias vulpinus,-4.36072,54.86222
Alopias vulpinus,-4.36072,54.86222
Alopias vulpinus,-4.29692,54.83647
Alopias vulpinus,-3.8452,54.83519
Alopias vulpinus,-4.19868,54.7484
Alopias vulpinus,-4.36072,54.86222
Alopias vulpinus,-4.19868,54.7484
Alopias vulpinus,-4.30889,54.77332
Alopias vulpinus,-4.21519,54.76608
Alopias vulpinus,-3.34159,54.2036
Alopias vulpinus,-4.36615,54.42159
Alopias vulpinus,-3.27945,54.17731
Alopias vulpinus,-3.40779,54.34667
Alopias vulpinus,-4.36072,54.86222
Alopias vulpinus,-4.29132,54.73769
Alopias vulpinus,-4.3581,54.81732
Alopias vulpinus,-3.55848,54.66843
Alopias vulpinus,-3.45425,54.35511
Alopias vulpinus,-4.21962,54.8469
Alopias vulpinus,-4.20503,54.86515
Alopias vulpinus,-3.73511,54.80985
Alopias vulpinus,-4.20503,54.86515
Alopias vulpinus,3.0485,42.542
Alopias vulpinus,37.9062,-0.02356
Alopias vulpinus,72.5,11
Alopias vulpinus,55.23056,-20.61528
Alopias vulpinus,-8.04103,46.5178
Alopias vulpinus,5.31622,42.62867
Alopias vulpinus,-3.84602,43.73855
Alopias vulpinus,-4.58521,46.92354
Alopias vulpinus,-5.47456,45.20951
Alopias vulpinus,-3.93077,46.24318
Alopias vulpinus,-4.24133,46.11704
Alopias vulpinus,-4.69319,46.51683
Alopias vulpinus,-2.31964,45.50066
Alopias vulpinus,-1.7427,44.46667
Alopias vulpinus,119.71667,-17.55833
Alopias vulpinus,120.49167,-17.18333
Alopias vulpinus,147.6,-42.86817
Alopias vulpinus,149.58333,-43.08333
Alopias vulpinus,154.58333,-33.33333
Alopias vulpinus,147.53333,-42.98333
Alopias vulpinus,133.64167,-32.77667
Alopias vulpinus,121.275,-15.20903
Alopias vulpinus,-9.11735,54.21243
Alopias vulpinus,-7.93011,55.1846
Alopias vulpinus,-9.14354,54.24497
Alopias vulpinus,-5.2177,53.42287
Alopias vulpinus,-5.74847,51.90613
Alopias vulpinus,-6.67297,55.22231
Alopias vulpinus,-9.9784,52.27058
Alopias vulpinus,-6.08599,54.01954
Alopias vulpinus,-10.26202,52.08572
Alopias vulpinus,-7.51244,52.04799
Alopias vulpinus,-7.99347,51.82432
Alopias vulpinus,-5.49663,54.68267
Alopias vulpinus,-6.60669,52.11266
Alopias vulpinus,-7.92231,55.16214
Alopias vulpinus,-10.23519,51.54689
Alopias vulpinus,172.775,-33.95
Alopias vulpinus,172.88333,-34.11667
Alopias vulpinus,173.00667,-34.225
Alopias vulpinus,173.05,-34.41667
Alopias vulpinus,173.4,-34.617
Alopias vulpinus,173.483,-34.433
Alopias vulpinus,173.483,-34.433
Alopias vulpinus,173.483,-34.433
Alopias vulpinus,173.483,-34.433
Alopias vulpinus,173.633,-38.117
Alopias vulpinus,173.633,-38.117
Alopias vulpinus,173.667,-39.283
Alopias vulpinus,173.917,-38.983
Alopias vulpinus,174,-39.05
Alopias vulpinus,174.11467,-35.14583
Alopias vulpinus,174.14083,-35.22833
Alopias vulpinus,174.15433,-35.2135
Alopias vulpinus,174.345,-37.17
Alopias vulpinus,174.37833,-35.32333
Alopias vulpinus,174.38367,-35.02417
Alopias vulpinus,174.4,-35.18333
Alopias vulpinus,174.26667,-35.15333
Alopias vulpinus,174.3,-38.933
Alopias vulpinus,174.533,-35.683
Alopias vulpinus,174.533,-35.683
Alopias vulpinus,174.6,-37.337
Alopias vulpinus,174.667,-37.645
Alopias vulpinus,174.68333,-38.173
Alopias vulpinus,174.733,-37.55
Alopias vulpinus,175.233,-36.772
Alopias vulpinus,174.9175,-36.685
Alopias vulpinus,175.18933,-36.46133
Alopias vulpinus,175.333,-37
Alopias vulpinus,175.394,-36.8125
Alopias vulpinus,176.117,-36.75
Alopias vulpinus,176.117,-36.75
Alopias vulpinus,176.233,-37.233
Alopias vulpinus,176.65,-37.81583
Alopias vulpinus,176.8375,-37.81583
Alopias vulpinus,177.133,-37.517
Alopias vulpinus,176.35,-37.25
Alopias vulpinus,176.35,-37.25
Alopias vulpinus,176.35,-37.25
Alopias vulpinus,176.35,-37.25
Alopias vulpinus,176.386,-37.591
Alopias vulpinus,177.47333,-37.49833
Alopias vulpinus,178.41667,-38.41667
Alopias vulpinus,178.41667,-38.41667
Alopias vulpinus,178.45,-38.38333
Alopias vulpinus,178.46617,-38.39683
Alopias vulpinus,178.58333,-38.38333
Alopias vulpinus,-117.86667,33.58333
Alopias vulpinus,-62.85,17.8833
Alopias vulpinus,-117.86667,33.58333
Alopias vulpinus,26,-33
Alopias vulpinus,16.19,-32.06
Alopias vulpinus,16.17,-31.42
Alopias vulpinus,21.15,-34.44
Alopias vulpinus,172.4912,-43.9108
Alopias vulpinus,-73.563,39.5914
Alopias vulpinus,-73.3165,39.2126
Alopias vulpinus,-66.33967,44.28383
Alopias vulpinus,18.3,-33.933
Alopias vulpinus,-3.933,47.883
Alopias vulpinus,-10,46
Alopias vulpinus,-3.917,47.883
Alopias vulpinus,-3.917,47.883
Alopias vulpinus,-3.917,47.883
Alopias vulpinus,-10,46
Alopias vulpinus,-3.917,47.611
Alopias vulpinus,21.25,-34.7333
Alopias vulpinus,20.9667,-34.4333
Alopias vulpinus,147.533,-42.983
Alopias vulpinus,-78.69,33.8
Alopias vulpinus,-157.98334,21.46667
Alopias vulpinus,-67.88699,42.36845
Alopias vulpinus,-75.85,34.90833
Alopias vulpinus,-78.85833,31.53333
Alopias vulpinus,-84.30833,24.925
Alopias vulpinus,-74.65,36.03333
Alopias vulpinus,-74.7,36.19167
Alopias vulpinus,72.5,11
Alopias vulpinus,55.23056,-20.61528
Alopias vulpinus,147.41,-43.03
Alopias vulpinus,147.55,-43.17
Alopias vulpinus,124.146,11.2949
Alopias vulpinus,124.146,11.2949
Alopias vulpinus,124.146,11.2949
Alopias vulpinus,124.146,11.2949
Alopias vulpinus,124.146,11.2949
Alopias vulpinus,124.146,11.2949
Alopias vulpinus,35.8618,24.9284
Alopias vulpinus,34.8422,26.3152
Alopias vulpinus,124.151,11.328
Alopias vulpinus,123.401,9.95566
Alopias vulpinus,139.75,-37.17
Alopias vulpinus,173.24417,-41.18683
Alopias vulpinus,171.298,-41.97583
Alopias vulpinus,30.85,-30
Alopias vulpinus,30.85,-30
Alopias vulpinus,151.283,-33.8
Alopias vulpinus,-65.80602,44.97985
Alopias vulpinus,-75.85,34.90833
Alopias vulpinus,172.0267,-41.328
Alopias vulpinus,173.6433,-39.683
Alopias vulpinus,173.3717,-39.5827
Alopias vulpinus,173.3125,-38.9173
Alopias vulpinus,174.2588,-38.6537
Alopias vulpinus,174.683,-37.7377
